"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","4","36-3031-ND","3031","BATT RETAIN COIN 1 CELL PC PIN","","4","0","0.62000","2.48"
"2","1","ED10529-ND","302-S401","CONN HEADER VERT 40POS 2.54MM","","1","0","0.57000","0.57"
"3","4","P031-ND","CR-1025/BN","BATTERY LITHIUM 3V COIN 10MM","","4","0","1.12000","4.48"
"4","1","1727-2036-1-ND","74HC2G02DP,125","IC GATE NOR 2CH 2-INP 8TSSOP","","1","0","0.45000","0.45"
"5","1","1276-1026-1-ND","CL21B105KOFNNNE","CAP CER 1UF 16V X7R 0805","C1","1","0","0.10000","0.10"
"6","1","BAT54CLT3GOSCT-ND","BAT54CLT3G","DIODE ARRAY SCHOTTKY 30V SOT23-3","","1","0","0.12000","0.12"
"7","1","455-SM04B-SRSS-TBCT-ND","SM04B-SRSS-TB","CONN HEADER SMD R/A 4POS 1MM","","1","0","0.59000","0.59"
"8","1","1568-CAB-17261-ND","CAB-17261","FLEXIBLE QWIIC CABLE - FEMALE JU","","1","0","1.60000","1.60"
"9","1","1568-1511-ND","PRT-12794","JUMPER WIRE M/F 6"" 20PCS","","1","0","2.10000","2.10"
